1,Aberavon,51,County
2,Aberconwy,8,County
3,Aberdeen North,41,Borough
4,Aberdeen South,41,Borough
5,Airdrie and Shotts,41,County
6,Aldershot,22,Borough
7,Aldridge-Brownhills,52,Borough
8,Altrincham and Sale West,19,Borough
9,Alyn and Deeside,8,County
10,Amber Valley,11,County
11,Angus,41,County
12,Arfon,21,County
13,Argyll and Bute,41,County
14,Arundel and South Downs,53,County
15,Ashfield,38,County
16,Ashford,27,County
17,Ashton-Under-Lyne,19,Borough
18,Aylesbury,4,County
19,Ayr Carrick and Cumnock,41,County
20,Banbury,39,County
21,Banff and Buchan,41,County
22,Barking,31,Borough
23,Barnsley Central,45,Borough
24,Barnsley East,45,County
25,Barrow and Furness,10,County
26,Basildon and Billericay,17,Borough
27,Basingstoke,22,Borough
28,Bassetlaw,38,County
29,Bath,1,Borough
30,Batley and Spen,54,Borough
31,Battersea,31,Borough
32,Beaconsfield,4,County
33,Beckenham,31,Borough
34,Bedford,2,Borough
35,Belfast East,36,Borough
36,Belfast North,36,Borough
37,Belfast South,36,Borough
38,Belfast West,36,Borough
39,Bermondsey and Old Southwark,31,Borough
40,Berwickshire Roxburgh and Selkirk,41,County
41,Berwick-Upon-Tweed,37,County
42,Bethnal Green and Bow,31,Borough
43,Beverley and Holderness,25,County
44,Bexhill and Battle,16,County
45,Bexleyheath and Crayford,31,Borough
46,Birkenhead,32,Borough
47,Birmingham Edgbaston,52,Borough
48,Birmingham Erdington,52,Borough
49,Birmingham Hall Green,52,Borough
50,Birmingham Hodge Hill,52,Borough
51,Birmingham Ladywood,52,Borough
52,Birmingham Northfield,52,Borough
53,Birmingham Perry Barr,52,Borough
54,Birmingham Selly Oak,52,Borough
55,Birmingham Yardley,52,Borough
56,Bishop Auckland,14,County
57,Blackburn,28,Borough
58,Blackley and Broughton,19,Borough
59,Blackpool North and Cleveleys,28,Borough
60,Blackpool South,28,Borough
61,Blaenau Gwent,20,County
62,Blaydon,49,Borough
63,Blyth Valley,37,Borough
64,Bognor Regis and Littlehampton,53,County
65,Bolsover,11,County
66,Bolton North East,19,Borough
67,Bolton South East,19,Borough
68,Bolton West,19,County
69,Bootle,32,Borough
70,Boston and Skegness,30,County
71,Bosworth,29,County
72,Bournemouth East,13,Borough
73,Bournemouth West,13,Borough
74,Bracknell,3,County
75,Bradford East,54,Borough
76,Bradford South,54,Borough
77,Bradford West,54,Borough
78,Braintree,17,County
79,Brecon and Radnorshire,40,County
80,Brent Central,31,Borough
81,Brentford and Isleworth,31,Borough
82,Brent North,31,Borough
83,Brentwood and Ongar,17,County
84,Bridgend,20,County
85,Bridgwater and West Somerset,43,County
86,Brigg and Goole,25,County
87,Brighton Kemptown,16,Borough
88,Brighton Pavilion,16,Borough
89,Bristol East,1,Borough
90,Bristol North West,1,Borough
91,Bristol South,1,Borough
92,Bristol West,1,Borough
93,Broadland,33,County
94,Bromley and Chislehurst,31,Borough
95,Bromsgrove,23,County
96,Broxbourne,24,Borough
97,Broxtowe,38,County
98,Buckingham,4,County
99,Burnley,28,Borough
100,Burton,46,County
101,Bury North,19,Borough
102,Bury South,19,Borough
103,Bury St Edmunds,47,County
104,Caerphilly,20,County
105,Caithness Sutherland and Easter Ross,41,County
106,Calder Valley,54,County
107,Camberwell and Peckham,31,Borough
108,Camborne and Redruth,9,County
109,Cambridge,5,Borough
110,Cannock Chase,46,County
111,Canterbury,27,County
112,Cardiff Central,44,Borough
113,Cardiff North,44,Borough
114,Cardiff South and Penarth,44,Borough
115,Cardiff West,44,Borough
116,Carlisle,10,County
117,Carmarthen East and Dinefwr,15,County
118,Carmarthen West and South Pembrokeshire,15,County
119,Carshalton and Wallington,31,Borough
120,Castle Point,17,Borough
121,Central Ayrshire,41,County
122,Central Devon,12,County
123,Central Suffolk and North Ipswich,47,County
124,Ceredigion,15,County
125,Charnwood,29,County
126,Chatham and Aylesford,27,County
127,Cheadle,19,Borough
128,Chelmsford,17,Borough
129,Chelsea and Fulham,31,Borough
130,Cheltenham,18,Borough
131,Chesham and Amersham,4,County
132,Chesterfield,11,Borough
133,Chichester,53,County
134,Chingford and Woodford Green,31,County
135,Chippenham,55,County
136,Chipping Barnet,31,Borough
137,Chorley,28,County
138,Christchurch,13,County
139,Cities Of London and Westminster,31,Borough
140,City Of Chester,6,County
141,City Of Durham,14,County
142,Clacton,17,County
143,Cleethorpes,25,County
144,Clwyd South,8,County
145,Clwyd West,8,County
146,Coatbridge Chryston and Bellshill,41,Borough
147,Colchester,17,Borough
148,Colne Valley,54,County
149,Congleton,6,County
150,Copeland,10,County
151,Corby,35,County
152,Coventry North East,52,Borough
153,Coventry North West,52,Borough
154,Coventry South,52,Borough
155,Crawley,53,Borough
156,Crewe and Nantwich,6,County
157,Croydon Central,31,Borough
158,Croydon North,31,Borough
159,Croydon South,31,Borough
160,Cumbernauld Kilsyth and Kirkintilloch East,41,County
161,Cynon Valley,20,County
162,Dagenham and Rainham,31,Borough
163,Darlington,14,Borough
164,Dartford,27,County
165,Daventry,35,County
166,Delyn,8,County
167,Denton and Reddish,19,Borough
168,Derby North,11,Borough
169,Derbyshire Dales,11,Borough
170,Derby South,11,Borough
171,Devizes,55,County
172,Dewsbury,54,County
173,Doncaster Central,45,Borough
174,Doncaster North,45,County
175,Don Valley,45,County
176,Dover,27,County
177,Dudley North,52,Borough
178,Dudley South,52,Borough
179,Dulwich and West Norwood,31,Borough
180,Dumfries and Galloway,41,County
181,Dumfriesshire Clydesdale and Tweeddale,41,County
182,Dundee East,41,Borough
183,Dundee West,41,Borough
184,Dunfermline and West Fife,41,County
185,Dwyfor Meirionnydd,21,County
186,Ealing Central and Acton,31,Borough
187,Ealing North,31,Borough
188,Ealing Southall,31,Borough
189,Easington,14,County
190,East Antrim,36,County
191,Eastbourne,16,County
192,East Devon,12,County
193,East Dunbartonshire,41,County
