1,Stephen Kinnock,1,Yes,17008,26,1,51,10,4
2,Charlotte Lang,2,No,6518,16,1,51,10,4
3,Glenda Davies,2,No,3108,8,1,51,10,4
4,Nigel Hunt,1,No,2711,37,1,51,10,4
5,Sheila Kingston-Jones,2,No,1072,29,1,51,10,4
6,Captain Beany,1,No,731,23,1,51,10,4
7,Giorgia Finney,2,No,450,20,1,51,10,4
8,Robin Millar,1,No,14687,16,2,8,10,4
9,Emily Owen,2,No,12653,26,2,8,10,4
10,Lisa Goodier,2,No,2704,37,2,8,10,4
11,Jason Edwards,1,No,1821,29,2,8,10,4
12,Kirsty Blackman,2,Yes,20205,43,3,41,7,3
13,Ryan Houghton,1,No,7535,16,3,41,7,3
14,Nurul Hoque Ali,1,No,4939,26,3,41,7,3
15,Isobel Davidson,2,No,2846,29,3,41,7,3
16,Seb Leslie,1,No,1008,8,3,41,7,3
17,Guy Ingerson,1,No,880,20,3,41,7,3
18,Stephen Flynn,1,No,20388,43,4,41,7,3
19,Douglas Lumsden,1,No,16398,16,4,41,7,3
20,Ian Yuill,1,No,5018,29,4,41,7,3
21,Shona Simpson,2,No,3834,26,4,41,7,3
22,Neil Gray,1,Yes,17929,43,5,41,7,3
23,Helen McFarlane,2,No,12728,26,5,41,7,3
24,Lorraine Nolan,2,No,7011,16,5,41,7,3
25,William Crossman,1,No,1419,29,5,41,7,3
26,Rosemary McGowan,2,No,685,20,5,41,7,3
27,Leo Docherty,1,Yes,27980,16,6,22,8,1
28,Howard Kaye,1,No,11282,26,6,22,8,1
29,Alan Hilliar,1,No,6920,29,6,22,8,1
30,Donna Wallace,2,No,1750,20,6,22,8,1
31,Wendy Morton,2,Yes,27850,16,7,52,11,1
32,David Morgan,1,No,8014,26,7,52,11,1
33,Ian Garrett,1,No,2371,29,7,52,11,1
34,Bill McComish,1,No,771,20,7,52,11,1
35,Mark Beech,1,No,336,33,7,52,11,1
36,Graham Brady,1,Yes,26311,16,8,19,5,1
37,Andrew Western,1,No,20172,26,8,19,5,1
38,Angela Smith,2,Yes,6036,29,8,19,5,1
39,Geraldine Coggins,2,No,1566,20,8,19,5,1
40,Neil Taylor,1,No,454,28,8,19,5,1
41,Iram Kiani,2,No,224,23,8,19,5,1
42,Mark Tami,1,Yes,18271,26,9,8,10,4
43,Sanjoy Sen,1,No,18058,16,9,8,10,4
44,Simon Wall,1,No,2678,8,9,8,10,4
45,Donna Lalek,2,No,2548,29,9,8,10,4
46,Susan Hills,2,No,1453,37,9,8,10,4
47,Nigel Mills,1,Yes,29096,16,10,11,2,1
48,Adam Thompson,1,No,12210,26,10,11,2,1
49,Kate  Smith,2,No,2873,29,10,11,2,1
50,Lian Pizzey,1,No,1388,20,10,11,2,1
51,Dave Doogan,1,No,21216,43,11,41,7,3
52,Kirstene Hair,2,Yes,17421,16,11,41,7,3
53,Ben Lawrie,1,No,2482,29,11,41,7,3
54,Monique Miller,2,No,2051,26,11,41,7,3
55,Hywel Williams,1,Yes,13134,37,12,21,10,4
56,Steffie Williams Roberts,2,No,10353,26,12,21,10,4
57,Gonul Daniels,2,No,4428,16,12,21,10,4
58,Gary Gribben,1,No,1159,8,12,21,10,4
59,Brendan O'Hara,1,Yes,21040,43,13,41,7,3
60,Gary Mulvaney,1,No,16930,16,13,41,7,3
61,Alan Reid,1,No,6832,29,13,41,7,3
62,Rhea Barnes,2,No,3248,26,13,41,7,3
63,Andrew Griffith,1,No,35566,16,14,53,8,1
64,Alison Bennett,2,No,13045,29,14,53,8,1
65,Bella Sankey,2,No,9722,26,14,53,8,1
66,Isabel Thurston,2,No,2519,20,14,53,8,1
67,Robert Wheal,1,No,556,23,14,53,8,1
68,Lee Anderson,1,No,19231,16,15,38,2,1
